string,count
ն,14136
ց,10202
ր,9665
յ,7337
ս,5676
մ,5276
կ,5236
լ,4685
թ,4272
տ,4184
ք,3940
զ,3561
ղ,3332
հ,2923
բ,2577
գ,2493
պ,2479
սց,1882
վ,1875
դ,1789
ռ,1713
խ,1691
ծ,1420
փ,1367
ցն,919
ստ,907
շ,880
նս,872
նն,828
յն,797
րդ,796
նդ,777
մբ,645
րկ,626
զմ,598
ճ,592
չ,588
ջ,532
րձ,523
ռն,506
րտ,505
յց,498
րս,476
զգ,466
ժ,463
նք,438
նց,423
սն,413
րծ,395
նկ,392
րհ,377
րմ,356
րգ,355
լն,337
րն,333
նգ,330
յր,327
լք,326
քն,298
րք,291
զհ,289
կն,285
մն,284
ձ,279
լս,275
զկ,272
զբ,266
սպ,259
շտ,253
վն,246
զս,238
մք,237
կս,232
տն,223
շխ,222
սջ,217
զպ,212
նսն,206
զյ,205
գն,201
րբ,197
վթ,196
զն,192
յս,190
հր,175
սկ,173
վր,171
րթ,171
վք,170
նձ,160
զք,149
զդ,145
ցս,145
ղմ,144
ղք,143
տս,140
տր,139
յք,138
րշ,137
ղբ,135
նտ,134
խտ,133
զտ,133
ղջ,131
բն,131
ղն,129
նքն,125
յլ,125
-,124
զխ,124
դր,123
ցդ,117
րժ,113
նջ,113
գր,112
մտ,111
սր,110
վս,108
ծն,108
զվ,105
ղս,104
մս,103
րսն,102
մբք,101
նչ,100
յտ,99
կք,98
զփ,98
մպ,97
հն,96
ջն,94
խր,94
խն,93
մր,92
քս,91
կր,90
շն,90
նցն,89
նմ,89
հռ,88
վբ,87
լսն,86
պր,85
սրբ,85
նթ,84
զզ,84
զլ,83
նր,82
տք,82
րհն,82
ղծ,81
զթ,81
յթ,79
զծ,79
սս,78
հմ,78
նշ,77
վմ,76
բր,75
ղղ,75
տմ,75
թս,74
րդն,74
կսն,73
րձր,73
րքն,72
թն,72
տկ,71
վկ,70
րց,70
յտն,70
ն-,69
մբն,68
ղկ,68
ցք,67
ղտ,67
ղթ,67
պտ,67
րչ,67
մխ,67
զձ,66
խնդր,66
գտ,65
րկր,64
սք,63
յդ,61
յսն,61
րջ,60
րճ,60
փրկ,60
ղդ,59
պղծ,59
վտ,57
նտր,57
զր,56
զշ,56
նդր,55
ծս,55
հպ,55
վդ,53
խռ,53
շրջ,53
լքն,52
ռս,51
լց,51
չս,51
րշտ,50
խստ,50
բռն,49
նգն,49
ծկ,49
նստ,49
յգ,48
նհ,48
կռ,48
զչ,48
յնս,47
նխ,47
տրտմ,47
դն,46
տսն,46
սթ,46
քր,46
րդս,45
կղ,45
րկն,45
ցմ,45
զց,45
րպ,43
նզ,43
պստ,43
փր,43
ցց,43
կտ,43
ննջ,43
ցր,43
դդ,42
կց,42
յծ,42
չն,42
խնդ,42
կքն,41
խճ,41
ռնկ,41
թշն,41
հնձ,41
րր,40
նծ,40
րմն,40
ստն,40
սդ,40
ցկ,40
տգ,40
վքն,39
քդ,39
նձր,39
րզ,39
ղց,39
չք,38
գլ,38
բժշկ,38
յհ,38
ցյ,38
քնն,38
սմ,37
փշտ,37
զրկ,37
լռ,36
տքն,35
զճ,35
մկրտ,35
զժ,34
զռ,34
